No,Rank,Ring Name,Percentage,Stone,Percentage 2,Middle Little Stone,Percentage 3,Side Stone,Percentage 4,Shank,Percentage 5,Gem Holder,Percentage 6,Background,Percentage 7,Total
#85,72,Bronze Diamond Collection,10,Rough Diamond Yellow,3.6,Rough Diamond Coper,1.4,Rough Diamond Coper,1.4,Bronze Plate,10,Bronze Plate,10,Yellow Umber Soft Tie Dye,0.4,5.25714286
#86,71,Bronze Diamond Collection,10,Rough Diamond Yellow,3.6,Rough Diamond Turqoise,1.4,Rough Diamond Turqoise,1.4,Bronze Plate,10,Bronze Plate,10,Yellow  Turqoise Soft Tie Dye,0.2,5.22857143
#5,70,Original Ring Collection,10.2,Rough Diamond Green,0.6,Rough Diamond Green,2.2,Rough Diamond Green,2.2,Silver Plate,10.2,Silver Plate,10.2,Green Soft Tie Dye,0.8,5.2
#72,69,Bronze Diamond Collection,10,Rough Diamond Lavender,0.6,Rough Diamond Lavender,2.4,Rough Diamond Lavender,2.4,Bronze Plate,10,Bronze Plate,10,Lavender Soft Tie Dye,1,5.2
#84,68,Bronze Diamond Collection,10,Rough Diamond Yellow,3.6,Rough Diamond Umber,1.2,Rough Diamond Umber,1.2,Bronze Plate,10,Bronze Plate,10,Yellow Lavender Soft Tie Dye,0.4,5.2
#4,67,Original Ring Collection,10.2,Rough Diamond Blue,0.6,Rough Diamond Blue,2.2,Rough Diamond Blue,2.2,Silver Plate,10.2,Silver Plate,10.2,Blue Soft Tie Dye,0.6,5.17142857
#13,66,Original Ring Collection,10.2,Rough Diamond Aqua,3.6,Rough Diamond Aqua,0.6,Rough Diamond Aqua,0.6,Silver Plate,10.2,Silver Plate,10.2,Aqua Soft Tie Dye,0.6,5.14285714
#56,65,Bronze Diamond Collection,10,Rough Diamond Green,0.6,Rough Diamond Green,2.2,Rough Diamond Green,2.2,Bronze Plate,10,Bronze Plate,10,Green Soft Tie Dye,0.8,5.11428571
#55,64,Bronze Diamond Collection,10,Rough Diamond Blue,0.6,Rough Diamond Blue,2.2,Rough Diamond Blue,2.2,Bronze Plate,10,Bronze Plate,10,Blue Soft Tie Dye,0.6,5.08571429
#7,63,Original Ring Collection,10.2,Rough Diamond Black,0.6,Rough Diamond Black,1.8,Rough Diamond Black,1.8,Silver Plate,10.2,Silver Plate,10.2,Black Soft Tie Dye,0.6,5.05714286
#64,62,Bronze Diamond Collection,10,Rough Diamond Aqua,3.6,Rough Diamond Aqua,0.6,Rough Diamond Aqua,0.6,Bronze Plate,10,Bronze Plate,10,Aqua Soft Tie Dye,0.6,5.05714286
#17,61,Original Ring Collection,10.2,Rough Diamond Rosewood,0.6,Rough Diamond Rosewood,1.6,Rough Diamond Rosewood,1.6,Silver Plate,10.2,Silver Plate,10.2,Rosewood Soft Tie Dye,0.8,5.02857143
#18,60,Original Ring Collection,10.2,Rough Diamond Peach,0.6,Rough Diamond Peach,1.6,Rough Diamond Peach,1.6,Silver Plate,10.2,Silver Plate,10.2,Peach Soft Tie Dye,0.6,5
#14,59,Original Ring Collection,10.2,Rough Diamond Turqoise,0.6,Rough Diamond Turqoise,1.4,Rough Diamond Turqoise,1.4,Silver Plate,10.2,Silver Plate,10.2,Turqoise Soft Tie Dye,0.8,4.97142857
#16,58,Original Ring Collection,10.2,Rough Diamond Coper,0.6,Rough Diamond Coper,1.4,Rough Diamond Coper,1.4,Silver Plate,10.2,Silver Plate,10.2,Coper Soft Tie Dye,0.8,4.97142857
#58,57,Bronze Diamond Collection,10,Rough Diamond Black,0.6,Rough Diamond Black,1.8,Rough Diamond Black,1.8,Bronze Plate,10,Bronze Plate,10,Black Soft Tie Dye,0.6,4.97142857
#68,54,Bronze Diamond Collection,10,Rough Diamond Rosewood,0.6,Rough Diamond Rosewood,1.6,Rough Diamond Rosewood,1.6,Bronze Plate,10,Bronze Plate,10,Rosewood Soft Tie Dye,0.8,4.94285714
#3,56,Original Ring Collection,10.2,Rough Diamond Red,0.6,Rough Diamond Red,1.4,Rough Diamond Red,1.4,Silver Plate,10.2,Silver Plate,10.2,Soft Red Tie Dye,0.6,4.94285714
#12,55,Original Ring Collection,10.2,Rough Diamond Sienna,0.6,Rough Diamond Sienna,1.4,Rough Diamond Sienna,1.4,Silver Plate,10.2,Silver Plate,10.2,Sienna Soft Tie Dye,0.6,4.94285714
#20,53,Original Ring Collection,10.2,Rough Diamond Umber,0.6,Rough Diamond Umber,1.2,Rough Diamond Umber,1.2,Silver Plate,10.2,Silver Plate,10.2,Umber Soft Tie Dye,0.8,4.91428571
#69,52,Bronze Diamond Collection,10,Rough Diamond Peach,0.6,Rough Diamond Peach,1.6,Rough Diamond Peach,1.6,Bronze Plate,10,Bronze Plate,10,Peach Soft Tie Dye,0.6,4.91428571
#22,50,Original Ring Collection,10.2,Rough Diamond Taupe,0.6,Rough Diamond Taupe,1.2,Rough Diamond Taupe,1.2,Silver Plate,10.2,Silver Plate,10.2,Taupe Soft Tie Dye,0.6,4.88571429
#23,49,Original Ring Collection,10.2,Rough Diamond Lemon,0.6,Rough Diamond Lemon,1.2,Rough Diamond Lemon,1.2,Silver Plate,10.2,Silver Plate,10.2,Lemon Soft Tie Dye,0.6,4.88571429
#8,51,Original Ring Collection,10.2,Rough Diamond Teal,0.6,Rough Diamond Teal,1.2,Rough Diamond Teal,1.2,Silver Plate,10.2,Silver Plate,10.2,Teal Soft Tie Dye,0.6,4.88571429
#67,47,Bronze Diamond Collection,10,Rough Diamond Coper,0.6,Rough Diamond Coper,1.4,Rough Diamond Coper,1.4,Bronze Plate,10,Bronze Plate,10,Coper Soft Tie Dye,0.8,4.88571429
#65,48,Bronze Diamond Collection,10,Rough Diamond Turqoise,0.6,Rough Diamond Turqoise,1.4,Rough Diamond Turqoise,1.4,Bronze Plate,10,Bronze Plate,10,Turqoise Soft Tie Dye,0.8,4.88571429
#63,45,Bronze Diamond Collection,10,Rough Diamond Sienna,0.6,Rough Diamond Sienna,1.4,Rough Diamond Sienna,1.4,Bronze Plate,10,Bronze Plate,10,Sienna Soft Tie Dye,0.6,4.85714286
#54,46,Bronze Diamond Collection,10,Rough Diamond Red,0.6,Rough Diamond Red,1.4,Rough Diamond Red,1.4,Bronze Plate,10,Bronze Plate,10,Soft Red Tie Dye,0.6,4.85714286
#71,44,Bronze Diamond Collection,10,Rough Diamond Umber,0.6,Rough Diamond Umber,1.2,Rough Diamond Umber,1.2,Bronze Plate,10,Bronze Plate,10,Umber Soft Tie Dye,0.8,4.82857143
#73,42,Bronze Diamond Collection,10,Rough Diamond Taupe,0.6,Rough Diamond Taupe,1.2,Rough Diamond Taupe,1.2,Bronze Plate,10,Bronze Plate,10,Taupe Soft Tie Dye,0.6,4.8
#74,41,Bronze Diamond Collection,10,Rough Diamond Lemon,0.6,Rough Diamond Lemon,1.2,Rough Diamond Lemon,1.2,Bronze Plate,10,Bronze Plate,10,Lemon Soft Tie Dye,0.6,4.8
#59,43,Bronze Diamond Collection,10,Rough Diamond Teal,0.6,Rough Diamond Teal,1.2,Rough Diamond Teal,1.2,Bronze Plate,10,Bronze Plate,10,Teal Soft Tie Dye,0.6,4.8
#11,38,Original Ring Collection,10.2,Rough Diamond Brown,0.6,Rough Diamond Brown,0.6,Rough Diamond Brown,0.6,Silver Plate,10.2,Silver Plate,10.2,Brown  Soft Tie Dye,0.6,4.71428571
#10,39,Original Ring Collection,10.2,Diamond Gold Granules,0.6,Diamond Gold Granules,0.6,Diamond Gold Granules,0.6,Silver Plate,10.2,Silver Plate,10.2,Gold Soft Tie Dye,0.6,4.71428571
#9,40,Original Ring Collection,10.2,Rough Diamond Orange,0.6,Rough Diamond Orange,0.6,Rough Diamond Orange,0.6,Silver Plate,10.2,Silver Plate,10.2,Orange Soft Tie Dye,0.6,4.71428571
#15,37,Original Ring Collection,10.2,Rugh Diamond Jade,0.6,Rugh Diamond Jade,0.6,Rugh Diamond Jade,0.6,Silver Plate,10.2,Silver Plate,10.2,Jade Soft Tie Dye,0.6,4.71428571
#19,36,Original Ring Collection,10.2,Rough Diamond Khaki,0.6,Rough Diamond Khaki,0.6,Rough Diamond Khaki,0.6,Silver Plate,10.2,Silver Plate,10.2,Khaki Soft Tie Dye,0.6,4.71428571
#62,33,Bronze Diamond Collection,10,Rough Diamond Brown,0.6,Rough Diamond Brown,0.6,Rough Diamond Brown,0.6,Bronze Plate,10,Bronze Plate,10,Brown  Soft Tie Dye,0.6,4.62857143
#61,34,Bronze Diamond Collection,10,Diamond Gold Granules,0.6,Diamond Gold Granules,0.6,Diamond Gold Granules,0.6,Bronze Plate,10,Bronze Plate,10,Gold Soft Tie Dye,0.6,4.62857143
#60,35,Bronze Diamond Collection,10,Rough Diamond Orange,0.6,Rough Diamond Orange,0.6,Rough Diamond Orange,0.6,Bronze Plate,10,Bronze Plate,10,Orange Soft Tie Dye,0.6,4.62857143
#66,32,Bronze Diamond Collection,10,Rugh Diamond Jade,0.6,Rugh Diamond Jade,0.6,Rugh Diamond Jade,0.6,Bronze Plate,10,Bronze Plate,10,Jade Soft Tie Dye,0.6,4.62857143
#70,31,Bronze Diamond Collection,10,Rough Diamond Khaki,0.6,Rough Diamond Khaki,0.6,Rough Diamond Khaki,0.6,Bronze Plate,10,Bronze Plate,10,Khaki Soft Tie Dye,0.6,4.62857143
#477,30,Ice Rings Collection,3,Ice Stone,1.4,Ice Stone,1,Metal Black Iron,0.2,Metal Black Iron,10.2,Metal Black Iron,10.2,Ice Cave,2.2,4.02857143
#476,29,Ice Rings Collection,3,Ice Stone,1.4,Ice Stone,1,Ice Stone,1.2,Turtle Skin,5.8,Turtle Skin,5.8,Ice Cave,2.2,2.91428571
#481,28,Ice Rings Collection,3,Ice Stone,1.4,Ice Stone,1,Original Wood,0.4,Original Wood,5.6,Original Wood,5.6,Ice Cave,2.2,2.74285714
#495,27,Rare Legendary,2,Galaxy Space,1.2,Galaxy Space,0.4,Hologram Green,1.4,Original Wood,5.6,Original Wood,5.6,Secret Room,2,2.6
#483,26,Ice Rings Collection,3,Vulcano Stone!,1.4,Vulcano Stone X Ice Stone,0.4,Ice Stone,1.2,Original Wood,5.6,Original Wood,5.6,Ice Cave X Lava Floor,0.6,2.54285714
#482,25,Ice Rings Collection,3,Vulcano Stone!,1.4,Vulcano Stone X Ice Stone,0.4,Original Wood,0.4,Original Wood,5.6,Original Wood,5.6,Ice Cave X Lava Floor,0.6,2.42857143
#475,24,Ice Rings Collection,3,Hologram Green,0.6,Hologram Green,1.4,Hologram Green,1.4,Ice Plat Stone,1,Ice Plat Stone,1,Ice Cave,2.2,1.51428571
#474,23,Ice Rings Collection,3,Blue Lava Stone,0.6,Blue Lava Stone,0.8,Blue Lava Stone,0.8,Ice Plat Stone,1,Ice Plat Stone,1,Ice Cave,2.2,1.34285714
#497,21,Rare Legendary,2,Vulcano Stone!,1.4,Vulcano Stone!,1.6,Vulcano Stone!,1,Cosmic Power ,0.8,Cosmic Power,0.6,Secret Room,2,1.34285714
#486,22,Unknown Collection,1,Galaxy Space,1.2,Vulcano Stone!,1.6,Galaxy Space,0.8,Hologram Blue,1.4,Hologram Blue,1.4,Secret Room,2,1.34285714
#485,20,Ice Rings Collection,3,Vulcano Stone!,1.4,Vulcano Stone!,1.6,Ice Stone,1.2,Silver Space Metal,0.4,Silver Space Metal,0.4,Volcano Cave,1,1.28571429
#480,19,Ice Rings Collection,3,Vulcano Stone!,1.4,Vulcano Stone!,1.6,Lava Stone,0.8,Ice Plat,0.4,Ice Plat,0.4,Volcano Cave,1,1.22857143
#484,18,Ice Rings Collection,3,Ice Stone,1.4,Ice Stone,1,Silver Space Metal,0.2,Silver Space Metal,0.4,Silver Space Metal,0.4,Ice Cave,2.2,1.22857143
#494,16,Rare Legendary,2,Ice Stone,1.4,Pure Gold,0.4,Ice Stone,1.2,Pure Gold,0.6,Pure Gold,0.6,Ice Cave,2.2,1.2
#472,17,Ice Rings Collection,3,Bloody Frozen Ice,0.4,Ice Plat Stone,0.4,Ice Plat Stone,0.4,Ice Plat Stone,1,Ice Plat Stone,1,Ice Cave,2.2,1.2
#489,14,Unknown Collection,1,Ice Stone,1.4,Hologram Green,1.4,Ice Stone,1.2,Galaxy Space,0.4,Galaxy Space,0.8,Secret Room,2,1.17142857
#471,15,Ice Rings Collection,3,Human Eyes Frozen,0.2,Ice Plat Stone,0.4,Ice Plat Stone,0.4,Ice Plat Stone,1,Ice Plat Stone,1,Ice Cave,2.2,1.17142857
#478,12,Ice Rings Collection,3,Lava Stone,0.6,Lava Stone,0.6,Lava Stone,0.8,Ice Plat,0.4,Ice Plat,0.4,Ice Cave,2.2,1.14285714
#473,13,Ice Rings Collection,3,Bloody Frozen Ice,0.4,Bloody Frozen Ice,0.2,Bloody Frozen Ice,0.2,Ice Plat Stone,1,Ice Plat Stone,1,Ice Cave,2.2,1.14285714
#496,11,Rare Legendary,2,Galaxy Space,1.2,Galaxy Space,0.4,Galaxy Space,0.8,Cosmic Power,0.8,Galaxy Space,0.8,Secret Room,2,1.14285714
#488,10,Unknown Collection,1,Galaxy Space,1.2,Hologram Green,1.4,Vulcano Stone!,1,Galaxy Space,0.4,Galaxy Space,0.8,Secret Room,2,1.11428571
#479,9,Ice Rings Collection,3,Ice Stone,1.4,Ice Stone,1,Ice Stone,1.2,Lava Stone,0.2,Lava Stone,0.2,Ice Cave X Lava Floor,0.6,1.08571429
#490,8,Unknown Collection,1,Galaxy Space,1.2,Vulcano Stone!,1.6,Galaxy Space,0.8,Hologram White,0.4,Hologram White,0.4,Secret Room,2,1.05714286
#492,7,Rare Legendary,2,Human Eyes,0.4,Vulcano Stone!,1.6,Vulcano Stone!,1,Pure Gold,0.6,Pure Gold,0.6,Volcano Cave,1,1.02857143
#499,6,Rare Legendary,2,Vulcano Green Stone,0.2,Vulcano Green Stone,0.2,Hologram Green,1.4,Cosmic Power ,0.8,Cosmic Power ,0.6,Secret Room,2,1.02857143
#493,5,Rare Legendary,2,Vulcano Stone!,1.4,Pure Gold,0.4,Vulcano Stone!,1,Pure Gold,0.6,Pure Gold,0.6,Volcano Cave,1,1
#491,3,Rare Legendary,2,Human Eyes,0.4,Vulcano Stone!,1.6,Galaxy Space,0.8,Vulcano Stone!,0.2,Vulcano Stone!,0.2,Volcano Cave,1,0.88571429
#487,4,Unknown Collection,1,Galaxy Space,1.2,Hologram Yellow,0.6,Hologram Purple,0.2,Hologram Yellow,0.4,Galaxy Space,0.8,Secret Room,2,0.88571429
#498,2,Rare Legendary,2,Vulcano Blue Stone,0.2,Vulcano Blue Stone,0.2,Vulcano Blue Stone,0.2,Cosmic Power ,0.8,Cosmic Power ,0.6,Secret Room,2,0.85714286
#500,1,Rare Legendary,2,Cosmic Volcano Power ,0.2,Cosmic Volcano Power ,0.2,Cosmic Volcano Power ,0.2,Cosmic Volcano Power ,0.2,Cosmic Volcano Power ,0.2,Space,0.2,0.45714286
