No,Rank,Ring Name,Percentage,Stone,Percentage 2,Middle Little Stone,Percentage 3,Side Stone,Percentage 4,Shank,Percentage 5,Gem Holder,Percentage 6,Background,Percentage 7,Total
#119,168,Gold Diamond Collection,10,Rough Diamond Peach,0.6,Rough Diamond Peach,1.6,Rough Diamond Peach,1.6,Gold Plate,14.6,Gold Plate,14.6,Peach Soft Tie Dye,0.6,6.22857143
#117,166,Gold Diamond Collection,10,Rough Diamond Coper,0.6,Rough Diamond Coper,1.4,Rough Diamond Coper,1.4,Gold Plate,14.6,Gold Plate,14.6,Coper Soft Tie Dye,0.8,6.2
#115,167,Gold Diamond Collection,10,Rough Diamond Turqoise,0.6,Rough Diamond Turqoise,1.4,Rough Diamond Turqoise,1.4,Gold Plate,14.6,Gold Plate,14.6,Turqoise Soft Tie Dye,0.8,6.2
#104,165,Gold Diamond Collection,10,Rough Diamond Red,0.6,Rough Diamond Red,1.4,Rough Diamond Red,1.4,Gold Plate,14.6,Gold Plate,14.6,Soft Red Tie Dye,0.6,6.17142857
#113,164,Gold Diamond Collection,10,Rough Diamond Sienna,0.6,Rough Diamond Sienna,1.4,Rough Diamond Sienna,1.4,Gold Plate,14.6,Gold Plate,14.6,Sienna Soft Tie Dye,0.6,6.17142857
#121,163,Gold Diamond Collection,10,Rough Diamond Umber,0.6,Rough Diamond Umber,1.2,Rough Diamond Umber,1.2,Gold Plate,14.6,Gold Plate,14.6,Umber Soft Tie Dye,0.8,6.14285714
#123,161,Gold Diamond Collection,10,Rough Diamond Taupe,0.6,Rough Diamond Taupe,1.2,Rough Diamond Taupe,1.2,Gold Plate,14.6,Gold Plate,14.6,Taupe Soft Tie Dye,0.6,6.11428571
#124,160,Gold Diamond Collection,10,Rough Diamond Lemon,0.6,Rough Diamond Lemon,1.2,Rough Diamond Lemon,1.2,Gold Plate,14.6,Gold Plate,14.6,Lemon Soft Tie Dye,0.6,6.11428571
#109,162,Gold Diamond Collection,10,Rough Diamond Teal,0.6,Rough Diamond Teal,1.2,Rough Diamond Teal,1.2,Gold Plate,14.6,Gold Plate,14.6,Teal Soft Tie Dye,0.6,6.11428571
#47,159,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond Lavender,2.4,Rough Diamond Lavender,2.4,Silver Plate,10.2,Silver Plate,10.2,White Lavender Soft Tie Dye,0.2,5.97142857
#110,158,Gold Diamond Collection,10,Rough Diamond Orange,0.6,Rough Diamond Orange,0.6,Rough Diamond Orange,0.6,Gold Plate,14.6,Gold Plate,14.6,Orange Soft Tie Dye,0.6,5.94285714
#116,155,Gold Diamond Collection,10,Rugh Diamond Jade,0.6,Rugh Diamond Jade,0.6,Rugh Diamond Jade,0.6,Gold Plate,14.6,Gold Plate,14.6,Jade Soft Tie Dye,0.6,5.94285714
#120,154,Gold Diamond Collection,10,Rough Diamond Khaki,0.6,Rough Diamond Khaki,0.6,Rough Diamond Khaki,0.6,Gold Plate,14.6,Gold Plate,14.6,Khaki Soft Tie Dye,0.6,5.94285714
#112,156,Gold Diamond Collection,10,Rough Diamond Brown,0.6,Rough Diamond Brown,0.6,Rough Diamond Brown,0.6,Gold Plate,14.6,Gold Plate,14.6,Brown  Soft Tie Dye,0.6,5.94285714
#111,157,Gold Diamond Collection,10,Diamond Gold Granules,0.6,Diamond Gold Granules,0.6,Diamond Gold Granules,0.6,Gold Plate,14.6,Gold Plate,14.6,Gold Soft Tie Dye,0.6,5.94285714
#45,152,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond Green,2.2,Rough Diamond Green,2.2,Silver Plate,10.2,Silver Plate,10.2,White Green Soft Tie Dye,0.2,5.91428571
#44,153,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond Blue,2.2,Rough Diamond Blue,2.2,Silver Plate,10.2,Silver Plate,10.2,Whtie Blue Soft Tie Dye,0.2,5.91428571
#98,151,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Lavender,2.4,Rough Diamond Lavender,2.4,Bronze Plate,10,Bronze Plate,10,Lavenderwhite Soft Tie Dye,0.2,5.88571429
#27,150,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Rough Diamond Blue,2.2,Rough Diamond Blue,2.2,Silver Plate,10.2,Silver Plate,10.2,Pink Blue Soft Tie Dye,0.6,5.85714286
#95,148,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Blue,2.2,Rough Diamond Blue,2.2,Bronze Plate,10,Bronze Plate,10,Blue White Soft Tie Dye,0.4,5.85714286
#28,149,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Rough Diamond Green,2.2,Rough Diamond Green,2.2,Silver Plate,10.2,Silver Plate,10.2,Pink Green Soft Tie Dye,0.6,5.85714286
#96,147,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Green,2.2,Rough Diamond Green,2.2,Bronze Plate,10,Bronze Plate,10,Green White Soft Tie Dye,0.4,5.85714286
#46,145,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond Black,1.8,Rough Diamond Black,1.8,Silver Plate,10.2,Silver Plate,10.2,White Black Soft Tie Dye,0.2,5.8
#43,146,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond Yellow,1.8,Rough Diamond Yellow,1.8,Silver Plate,10.2,Silver Plate,10.2,White Yellow Soft Tie Dye,0.2,5.8
#92,142,Bronze Diamond Collection,10,Rough Diamond Aqua,3.6,Rough Diamond Lavender,2.4,Rough Diamond Lavender,2.4,Bronze Plate,10,Bronze Plate,10,Aqua White Soft Tie Dye,2,5.77142857
#78,144,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond Blue,2.2,Rough Diamond Blue,2.2,Bronze Plate,10,Bronze Plate,10,Pink Blue Soft Tie Dye,0.6,5.77142857
#79,143,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond Green,2.2,Rough Diamond Green,2.2,Bronze Plate,10,Bronze Plate,10,Pink Green Soft Tie Dye,0.6,5.77142857
#30,140,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Rough Diamond Black,1.8,Rough Diamond Black,1.8,Silver Plate,10.2,Silver Plate,10.2,Pink Black Soft Tie Dye,0.6,5.74285714
#94,138,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Yellow,1.8,Rough Diamond Yellow,1.8,Bronze Plate,10,Bronze Plate,10,Yellow White Soft Tie Dye,0.4,5.74285714
#26,141,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Rough Diamond Yellow,1.8,Rough Diamond Yellow,1.8,Silver Plate,10.2,Silver Plate,10.2,Pink Yellow Soft Tie Dye,0.6,5.74285714
#50,139,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond Rosewood,1.6,Rough Diamond Rosewood,1.6,Silver Plate,10.2,Silver Plate,10.2,White Rosewood Soft Tie Dye,0.2,5.74285714
#97,137,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Black,1.8,Rough Diamond Black,1.8,Bronze Plate,10,Bronze Plate,10,Black White Soft Tie Dye,0.4,5.74285714
#88,136,Bronze Diamond Collection,10,Rough Diamond Aqua,3.6,Rough Diamond Blue,2.2,Rough Diamond Blue,2.2,Bronze Plate,10,Bronze Plate,10,Aqua White Soft Tie Dye,2,5.71428571
#100,134,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Peach,1.6,Rough Diamond Peach,1.6,Bronze Plate,10,Bronze Plate,10,Peach White Soft Tie Dye,0.4,5.68571429
#6,135,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond White,1.2,Rough Diamond White,1.2,Silver Plate,10.2,Silver Plate,10.2,White Soft Tie Dye,0.6,5.68571429
#81,132,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond Black,1.8,Rough Diamond Black,1.8,Bronze Plate,10,Bronze Plate,10,Pink Black Soft Tie Dye,0.6,5.65714286
#101,131,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Rosewood,1.6,Rough Diamond Rosewood,1.6,Bronze Plate,10,Bronze Plate,10,Rosewood White Soft Tie Dye,0.2,5.65714286
#77,133,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond Yellow,1.8,Rough Diamond Yellow,1.8,Bronze Plate,10,Bronze Plate,10,Pink Yellow Soft Tie Dye,0.6,5.65714286
#48,129,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond Taupe,1.2,Rough Diamond Taupe,1.2,Silver Plate,10.2,Silver Plate,10.2,Whte Taupe Soft Tie Dye,0.2,5.62857143
#93,127,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Red,1.4,Rough Diamond Red,1.4,Bronze Plate,10,Bronze Plate,10,Red White Soft Tie Dye,0.4,5.62857143
#83,128,Bronze Diamond Collection,10,Rough Diamond Yellow,3.6,Rough Diamond Lavender,2.4,Rough Diamond Lavender,2.4,Bronze Plate,10,Bronze Plate,10,Lavender Soft Tie Dye,1,5.62857143
#32,130,Original Ring Collection,10.2,Rough Diamond Yellow,3.6,Rough Diamond Lavender,2.4,Rough Diamond Lavender,2.4,Silver Plate,10.2,Silver Plate,10.2,Yellow Lavender Soft Tie Dye,0.4,5.62857143
#41,126,Original Ring Collection,10.2,Rough Diamond Aqua,3.6,Rough Diamond Lavender,2.4,Rough Diamond Lavender,2.4,Silver Plate,10.2,Silver Plate,10.2,Aqua Lavender Soft Tie Dye,0.2,5.6
#57,125,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond White,1.2,Rough Diamond White,1.2,Bronze Plate,10,Bronze Plate,10,White Soft Tie Dye,0.6,5.6
#211,111,King Gold Collection,4.6,King Ruby Leaf Green,0.2,King Ruby Leaf Green,0.2,King Ruby Leaf Green,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#223,99,King Gold Collection,4.6,King Ruby  Lemon,0.2,King Ruby  Lemon,0.2,King Ruby  Lemon,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#203,119,King Gold Collection,4.6,King Ruby Yellow,0.2,King Ruby Yellow,0.2,King Ruby Yellow,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#216,106,King Gold Collection,4.6,King Ruby Jade,0.2,King Ruby Jade,0.2,King Ruby Jade,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#217,105,King Gold Collection,4.6,King Ruby Putty,0.2,King Ruby Putty,0.2,King Ruby Putty,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#215,107,King Gold Collection,4.6,King Ruby  Ice Blue,0.2,King Ruby  Ice Blue,0.2,King Ruby  Ice Blue,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#214,108,King Gold Collection,4.6,King Ruby Aqua,0.2,King Ruby Aqua,0.2,King Ruby Aqua,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#219,103,King Gold Collection,4.6,King Ruby Peach,0.2,King Ruby Peach,0.2,King Ruby Peach,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#212,110,King Gold Collection,4.6,King Ruby  Brown,0.2,King Ruby  Brown,0.2,King Ruby  Brown,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#208,114,King Gold Collection,4.6,King Ruby  Black,0.2,King Ruby  Black,0.2,King Ruby  Black,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#209,113,King Gold Collection,4.6,King Ruby  Teal,0.2,King Ruby  Teal,0.2,King Ruby  Teal,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#224,98,King Gold Collection,4.6,King Ruby Mauve,0.2,King Ruby Mauve,0.2,King Ruby Mauve,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#31,122,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Rough Diamond Teal,1.2,Rough Diamond Teal,1.2,Silver Plate,10.2,Silver Plate,10.2,Pink Teal Soft Tie Dye,0.6,5.57142857
#99,121,Bronze Diamond Collection,10,Rough Diamond White,6.2,Rough Diamond Taupe,1.2,Rough Diamond Taupe,1.2,Bronze Plate,10,Bronze Plate,10,Taupe White Soft Tie Dye,0.4,5.57142857
